url,parameters,hidden_size,num_experts,num_layers,num_attn_heads,num_kv_heads,num_expert_per_tok,expert_size,ignore
nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16,32B,2688,128,52,32,2,6,1856,32
zai-org/GLM-5-FP8,754B,6144,256,78,64,64,8,2048,754
Qwen/Qwen3-Coder-Next,80B,2048,512,48,16,2,10,512,80
nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-Base-BF16,32B,2688,128,52,32,2,6,1856,32
Qwen/Qwen3-Next-80B-A3B-Instruct-FP8,81B,2048,512,48,16,2,10,512,81
nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-Base-BF16,124B,4096,512,88,32,2,22,2688,124
trillionlabs/Gravity-16B-A3B-Preview,16B,2048,64,28,16,16,8,1408,16
allenai/FlexOlmo-7x7B-1T-RT,33B,4096,7,32,32,32,7,11008,33
RedHatAI/DeepSeek-V4-Flash-BF16,284B,4096,256,43,64,1,6,2048,284
Qwen/Qwen1.5-MoE-A2.7B-Chat,14B,2048,60,24,16,16,4,1408,14
deepseek-ai/DeepSeek-V3.2,685B,7168,256,61,128,128,8,2048,685
nvidia/NVIDIA-Nemotron-Labs-3-Elastic-30B-A3B-FP8,32B,2688,128,52,32,2,6,1856,32
Qwen/Qwen3-235B-A22B-FP8,235B,4096,128,94,64,4,8,1536,235
deepseek-ai/DeepSeek-V2-Chat,236B,5120,160,60,128,128,6,1536,236
RedHatAI/Qwen3-235B-A22B-Instruct-2507-quantized.w8a8,235B,4096,128,94,64,4,8,1536,235
RedHatAI/Qwen3-235B-A22B-FP8-dynamic,235B,4096,128,94,64,4,8,1536,235
deepseek-ai/DeepSeek-V3.1-Base,685B,7168,256,61,128,128,8,2048,685
RedHatAI/DeepSeek-Coder-V2-Instruct-FP8,236B,5120,160,60,128,128,6,1536,236
microsoft/OptiMind-SFT,21B,2880,32,24,64,8,4,2880,21
nvidia/Qwen3-Nemotron-235B-A22B-GenRM-2603,235B,4096,128,94,64,4,8,1536,235
microsoft/Phi-mini-MoE-instruct,8B,4096,16,32,32,8,2,960,8
allenai/FlexOlmo-7x7B-1T,33B,4096,7,32,32,32,7,11008,33
RedHatAI/DeepSeek-Coder-V2-Lite-Instruct-FP8,16B,2048,64,27,16,16,6,1408,16
deepseek-ai/DeepSeek-Coder-V2-Lite-Base,16B,2048,64,27,16,16,6,1408,16
deepseek-ai/DeepSeek-V3.2-Exp,685B,7168,256,61,128,128,8,2048,685
openai/gpt-oss-20b,22B,2880,32,24,64,8,4,2880,22
moonshotai/Moonlight-16B-A3B-Instruct,16B,2048,64,27,16,16,6,1408,16
nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-FP8,124B,4096,512,88,32,2,22,2688,124
Qwen/Qwen3-30B-A3B-Base,31B,2048,128,48,32,4,8,768,31
RedHatAI/GLM-5.1,754B,6144,256,78,64,64,8,2048,754
microsoft/Phi-tiny-MoE-instruct,4B,4096,16,32,16,4,2,448,4
Qwen/Qwen3-30B-A3B-Thinking-2507,31B,2048,128,48,32,4,8,768,31
ibm-granite/granite-3.0-3b-a800m-instruct,3B,1536,40,32,24,8,8,512,3
ibm-granite/granite-3.1-3b-a800m-base,3B,1536,40,32,24,8,8,512,3
allenai/Flex-reddit-2x7B-1T,12B,4096,2,32,32,32,2,11008,12
Qwen/Qwen3-Next-80B-A3B-Thinking-FP8,81B,2048,512,48,16,2,10,512,81
RedHatAI/Qwen3-30B-A3B-Instruct-2507-quantized.w4a16,5B,2048,128,48,32,4,8,768,5
Qwen/Qwen3-235B-A22B-GPTQ-Int4,235B,4096,128,94,64,4,8,1536,235
deepseek-ai/DeepSeek-Prover-V2-671B,685B,7168,256,61,128,128,8,2048,685
Qwen/Qwen3-Coder-480B-A35B-Instruct,480B,6144,160,62,96,8,8,2560,480
sarvamai/sarvam-30b-fp8,32B,4096,128,19,64,4,6,1024,32
dphn/dolphin-2.9.1-mixtral-1x22b,22B,6144,1,56,48,8,1,16384,22
Qwen/Qwen3-Coder-30B-A3B-Instruct,31B,2048,128,48,32,4,8,768,31
nvidia/Nemotron-Cascade-2-30B-A3B,32B,2688,128,52,32,2,6,1856,32
deepseek-ai/DeepSeek-Coder-V2-Base,236B,5120,160,60,128,128,6,1536,236
deepseek-ai/DeepSeek-V3-0324,685B,7168,256,61,128,128,8,2048,685
moonshotai/Kimi-K2-Instruct-0905,1T,7168,384,61,64,64,8,2048,1000
Qwen/Qwen1.5-MoE-A2.7B,14B,2048,60,24,16,16,4,1408,14
nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4,67B,4096,512,88,32,2,22,2688,67
dphn/dolphin-2.5-mixtral-8x7b,47B,4096,8,32,32,8,2,14336,47
zai-org/GLM-4.5-Air,110B,4096,128,46,96,8,8,1408,110
zai-org/GLM-5.1,754B,6144,256,78,64,64,8,2048,754
zai-org/GLM-5.1-FP8,754B,6144,256,78,64,64,8,2048,754
RedHatAI/DeepSeek-V2.5-1210-FP8,236B,5120,160,60,128,128,6,1536,236
microsoft/MAI-DS-R1-FP8,671B,7168,256,61,128,128,8,2048,671
nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-FP8,32B,2688,128,52,32,2,6,1856,32
deepseek-ai/DeepSeek-V3.2-Exp-Base,685B,7168,256,61,128,128,8,2048,685
Qwen/Qwen3-30B-A3B-Instruct-2507,31B,2048,128,48,32,4,8,768,31
RedHatAI/NVIDIA-Nemotron-3-Nano-30B-A3B-FP8,32B,2688,128,52,32,2,6,1856,32
deepseek-ai/DeepSeek-V2.5-1210,236B,5120,160,60,128,128,6,1536,236
Qwen/Qwen3-30B-A3B-Thinking-2507-FP8,31B,2048,128,48,32,4,8,768,31
Qwen/Qwen3-Coder-Next-Base,80B,2048,512,48,16,2,10,512,80
Qwen/Qwen2-57B-A14B,57B,3584,64,28,28,4,8,2560,57
allenai/OLMoE-1B-7B-0924-Instruct,7B,2048,64,16,16,16,8,1024,7
Qwen/Qwen3-Next-80B-A3B-Thinking,81B,2048,512,48,16,2,10,512,81
RedHatAI/Qwen3-30B-A3B-FP8-dynamic,31B,2048,128,48,32,4,8,768,31
RedHatAI/DeepSeek-V4-Flash-NVFP4-FP8,163B,4096,256,43,64,1,6,2048,163
ibm-research/PowerMoE-3b,3B,1536,40,32,24,8,8,512,3
RedHatAI/Qwen2-57B-A14B-Instruct-FP8,57B,3584,64,28,28,4,8,2560,57
deepseek-ai/DeepSeek-V4-Pro,862B,7168,384,61,128,1,6,3072,862
sarvamai/sarvam-105b-fp8,106B,4096,128,32,64,0,8,2048,106
RedHatAI/Kimi-K2-Thinking,1.1T,7168,384,61,64,64,8,2048,1100
Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8,480B,6144,160,62,96,8,8,2560,480
Qwen/Qwen3-Coder-Next-FP8,80B,2048,512,48,16,2,10,512,80
allenai/OLMoE-1B-7B-0125-Instruct,7B,2048,64,16,16,16,8,1024,7
Salesforce/xLAM-8x7b-r,47B,4096,8,32,32,8,2,14336,47
nvidia/NVIDIA-Nemotron-Labs-3-Elastic-30B-A3B-BF16,32B,2688,128,52,32,2,6,1856,32
deepseek-ai/DeepSeek-V3.1-Terminus,685B,7168,256,61,128,128,8,2048,685
allenai/OLMoE-1B-7B-0125,7B,2048,64,16,16,16,8,1024,7
deepseek-ai/DeepSeek-V2.5,236B,5120,160,60,128,128,6,1536,236
ibm-granite/granite-3.0-3b-a800m-base,3B,1536,40,32,24,8,8,512,3
deepseek-ai/deepseek-moe-16b-base,16B,2048,64,28,16,16,6,1408,16
openai/gpt-oss-120b,120B,2880,128,36,64,8,4,2880,120
RedHatAI/Qwen3-30B-A3B-quantized.w4a16,31B,2048,128,48,32,4,8,768,31
Qwen/Qwen3-235B-A22B-Thinking-2507-FP8,235B,4096,128,94,64,4,8,1536,235
moonshotai/Kimi-Linear-48B-A3B-Base,49B,2304,256,27,32,32,8,1024,49
RedHatAI/Qwen3-30B-A3B-Instruct-2507-quantized.w8a8,31B,2048,128,48,32,4,8,768,31
deepseek-ai/DeepSeek-R1-Zero,685B,7168,256,61,128,128,8,2048,685
NousResearch/Nous-Hermes-2-Mixtral-8x7B-DPO,47B,4096,8,32,32,8,2,14336,47
